"X.timestamp";"MetricName";"Tag_EventHandlerInstance";"Tag_EventHandlerName";"Tag_MC.TrackingId";"Tag_StreamTypeName";"Tag_Type"
"May 20, 2021 @ 12:19:11.703";"Event";"InputGbrtnsMtPlchldrs.InputGbrtnsMtPlchldrsProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpSyncProjector";"Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpGewijzigdEvent"
"May 20, 2021 @ 12:19:11.700";"Event";"Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpSyncProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpProcessingProjector";"Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpApplyEndEvent"
"May 20, 2021 @ 12:19:11.697";"Event";"InputGbrtnsMtPlchldrs.InputGbrtnsMtPlchldrsProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Settings.GbrtnsMtPlchldrs_Magazijn_InhoudSyncProjector";"Settings.GbrtnsMtPlchldrs_Magazijn_InhoudGewijzigdEvent"
"May 20, 2021 @ 12:19:11.697";"Event";"Settings.GbrtnsMtPlchldrs_Magazijn_InhoudSyncProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Settings.GbrtnsMtPlchldrs_Magazijn_InhoudProcessingProjector";"Settings.GbrtnsMtPlchldrs_Magazijn_InhoudApplyEndEvent"
"May 20, 2021 @ 12:19:11.694";"Event";"Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpSyncProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpProcessingProjector";"Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpApplyEvent"
"May 20, 2021 @ 12:19:11.691";"Event";"Settings.GbrtnsMtPlchldrs_Magazijn_InhoudSyncProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Settings.GbrtnsMtPlchldrs_Magazijn_InhoudProcessingProjector";"Settings.GbrtnsMtPlchldrs_Magazijn_InhoudApplyEvent"
"May 20, 2021 @ 12:19:11.685";"Event";"Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpViewProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpProcessingProjector";"Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpApplyEvent"
"May 20, 2021 @ 12:19:11.685";"Event";"Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpSyncProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpProcessingProjector";"Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpApplyStartEvent"
"May 20, 2021 @ 12:19:11.685";"Event";"Settings.GbrtnsMtPlchldrs_Magazijn_InhoudViewProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Settings.GbrtnsMtPlchldrs_Magazijn_InhoudProcessingProjector";"Settings.GbrtnsMtPlchldrs_Magazijn_InhoudApplyEvent"
"May 20, 2021 @ 12:19:11.684";"Event";"Settings.GbrtnsMtPlchldrs_Magazijn_InhoudSyncProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Settings.GbrtnsMtPlchldrs_Magazijn_InhoudProcessingProjector";"Settings.GbrtnsMtPlchldrs_Magazijn_InhoudApplyStartEvent"
"May 20, 2021 @ 12:19:11.640";"Event";"Settings.GbrtnsMtPlchldrs_Magazijn_InhoudProcessingProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Magazijn.MagazijnProcessManager";"Magazijn.Sync_Event"
"May 20, 2021 @ 12:19:11.640";"Event";"InputPakbon.InputPakbonProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Magazijn.MagazijnProcessManager";"Magazijn.Sync_Event"
"May 20, 2021 @ 12:19:11.640";"Event";"GbrtnsMtPlchldrs.GbrtnsMtPlchldrsProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Magazijn.MagazijnProcessManager";"Magazijn.Sync_Event"
"May 20, 2021 @ 12:19:11.640";"Event";"PlayerOnbekendRollen.PlayerOnbekendRollenProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Magazijn.MagazijnProcessManager";"Magazijn.Sync_Event"
"May 20, 2021 @ 12:19:11.640";"Event";"PlayerOverigRollen.PlayerOverigRollenProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Magazijn.MagazijnProcessManager";"Magazijn.Sync_Event"
"May 20, 2021 @ 12:19:11.640";"Event";"VoorraadProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Magazijn.MagazijnProcessManager";"Magazijn.Sync_Event"
"May 20, 2021 @ 12:19:11.640";"Event";"Pakbon.PakbonProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Magazijn.MagazijnProcessManager";"Magazijn.Sync_Event"
"May 20, 2021 @ 12:19:11.640";"Event";"Gs.ViewProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Magazijn.MagazijnProcessManager";"Magazijn.Sync_Event"
"May 20, 2021 @ 12:19:11.640";"Event";"Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpProcessingProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Magazijn.MagazijnProcessManager";"Magazijn.Sync_Event"
"May 20, 2021 @ 12:19:11.640";"Event";"InputGbrtnsMtPlchldrs.InputGbrtnsMtPlchldrsProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Magazijn.MagazijnProcessManager";"Magazijn.Sync_Event"
"May 20, 2021 @ 12:19:11.631";"Event";"PlayerOnbekendRollen.PlayerOnbekendRollenProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"OnbekendRollen.OnbekendRollenAggregateRoot";"OnbekendRollen.OnbekendRollenApply_Event"
"May 20, 2021 @ 12:19:11.631";"Event";"Magazijn.MagazijnSyncRouter";"Afas.Runtime.Command.Standard.DynamicStreamItemRouter, Afas.Runtime.Command";"8556923113d94d38a6a4c98167496d16";"Magazijn.MagazijnAggregateRoot";"Magazijn.MagazijnChanged_Event"
"May 20, 2021 @ 12:19:11.631";"Event";"Magazijn.MagazijnProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Magazijn.MagazijnAggregateRoot";"Magazijn.MagazijnChanged_Event"
"May 20, 2021 @ 12:19:11.630";"Event";"Signal.SignalProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Magazijn.MagazijnAggregateRoot";"Signal.SignalResolved_Event"
"May 20, 2021 @ 12:19:11.621";"Event";"Magazijn.MagazijnRouter";"Afas.Runtime.Command.Standard.DynamicStreamItemRouter, Afas.Runtime.Command";"8556923113d94d38a6a4c98167496d16";"OnbekendRollen.OnbekendRollenAggregateRoot";"Magazijn.OnbekendRollenCreatedForMagazijn_Event"
"May 20, 2021 @ 12:19:11.590";"Event";"OnbekendRollen.OnbekendRollenRouter";"Afas.Runtime.Command.Standard.DynamicStreamItemRouter, Afas.Runtime.Command";"8556923113d94d38a6a4c98167496d16";"Magazijn.MagazijnAggregateRoot";"Magazijn.MagazijnCreatedForOnbekendRollen_Event"
"May 20, 2021 @ 12:19:11.590";"Event";"PlayerOnbekendRollen.PlayerOnbekendRollenProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"52d812eea13442f1ba832e8a8feab320";"OnbekendRollen.OnbekendRollenAggregateRoot";"OnbekendRollen.OnbekendRollenPlayerApply_Event"
"May 20, 2021 @ 12:19:11.584";"Event";"Magazijn.MagazijnProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Magazijn.MagazijnAggregateRoot";"Magazijn.MagazijnCreated_Event"
"May 20, 2021 @ 12:19:11.584";"Event";"Magazijn.MagazijnSyncRouter";"Afas.Runtime.Command.Standard.DynamicStreamItemRouter, Afas.Runtime.Command";"8556923113d94d38a6a4c98167496d16";"Magazijn.MagazijnAggregateRoot";"Magazijn.MagazijnCreated_Event"
"May 20, 2021 @ 12:19:11.574";"Event";"OnbekendRollen.OnbekendRollenRouter";"Afas.Runtime.Command.Standard.DynamicStreamItemRouter, Afas.Runtime.Command";"52d812eea13442f1ba832e8a8feab320";"Onbekend.OnbekendProcessManager";"Onbekend.Sync_Event"
"May 20, 2021 @ 12:19:11.560";"Event";"Onbekend.OnbekendSyncRouter";"Afas.Runtime.Command.Standard.DynamicStreamItemRouter, Afas.Runtime.Command";"52d812eea13442f1ba832e8a8feab320";"Onbekend.OnbekendAggregateRoot";"Onbekend.OnbekendCreated_Event"
"May 20, 2021 @ 12:19:11.560";"Event";"Onbekend.OnbekendProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"52d812eea13442f1ba832e8a8feab320";"Onbekend.OnbekendAggregateRoot";"Onbekend.OnbekendCreated_Event"
